Game Turn, From, To, Initiator, Type, SubType, Message
333, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
333, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
333, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
333, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
333, 4, 2, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
333, 4, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
333, 4, 2, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
336, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
336, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
336, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
336, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
336, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
336, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
336, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
336, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
336, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
336, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
336, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
337, 5, 3, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
337, 5, 3, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
337, 5, 3, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
338, 5, 4, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
339, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
339, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
339, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
339, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
339, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
339, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
339, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
339, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
339, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
339, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
339, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
342, 1, 3, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to AI
342, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
342, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
342, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
342, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
342, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
342, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
342, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
342, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
342, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
342, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
342, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
342, 3, 0, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to Human
342, 3, 0, 3, DENOUNCE, NONE, 00000000, Requesting Session (B)
342, 3, 0, 3, DENOUNCE, NONE, INITIAL, Adding to pending
342, 3, 0, 3, DENOUNCE, NONE, INITIAL, Processing Statement
342, 3, 0, 3, DENOUNCE, NONE, INITIAL, Processing Immediately
342, 4, 0, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to Human
342, 4, 0, 4, DENOUNCE, NONE, 00000000, Requesting Session (B)
342, 4, 0, 4, DENOUNCE, NONE, INITIAL, Adding to pending
342, 4, 0, 4, DENOUNCE, NONE, INITIAL, Processing Statement
342, 4, 0, 4, DENOUNCE, NONE, INITIAL, Processing Immediately
345, 1, 3, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
345, 1, 3, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
345, 1, 3, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
345, 1, 4, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
345, 1, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
345, 1, 4, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
345, 5, 1, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
345, 5, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
345, 5, 1, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
345, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
345, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
345, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
345, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
345, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
345, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
345, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
345, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
345, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
345, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
345, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
346, 1, 5, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action From AI to AI
347, 5, 0, ?, DENOUNCE, ffffffff, ?, Processing Action From AI to Human
347, 5, 0, 5, DENOUNCE, NONE, 00000000, Requesting Session (B)
347, 5, 0, 5, DENOUNCE, NONE, INITIAL, Adding to pending
347, 5, 0, 5, DENOUNCE, NONE, INITIAL, Processing Statement
347, 5, 0, 5, DENOUNCE, NONE, INITIAL, Processing Immediately
348, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
348, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
348, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
348, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
348, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Adding to pending
348, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Broadcasting
348, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Statement
348, 0, 1, 1, MAKE_DEAL, NONE, NEGATIVE, Processing Immediately
348, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Adding to pending
348, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Statement
348, 1, 0, 1, MAKE_DEAL, HUMAN_REFUSE_DEAL, NEGATIVE, Processing Immediately
349, 1, 4, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, 00000000, Requesting Session (B)
349, 1, 4, ?, MAKE_PROMISE, fadf5055, ?, Processing Action From AI to AI
349, 1, 4, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
349, 3, 4, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, 00000000, Requesting Session (B)
349, 3, 4, ?, MAKE_PROMISE, fadf5055, ?, Processing Action From AI to AI
349, 3, 4, -1, WARNING_DONT_SETTLE_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
350, 3, 5, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action From AI to AI
350, 3, 5, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
350, 3, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
350, 3, 5, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
351, 1, 5, ?, DECLARE_FRIEND, ffffffff, ?, Processing Action From AI to AI
351, 1, 0, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
351, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Adding to pending
351, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Statement
351, 1, 0, 1, MAKE_DEAL, NONE, INITIAL, Processing Immediately
351, 0, 1, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
351, 0, 1, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
351, 1, 0, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, 00000000, Requesting Session (B)
351, 1, 0, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, 00000000, Already has open session!
351, 0, 1, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
351, 0, 1, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
351, 1, 0, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
351, 1, 0, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
351, 1, 0, 1, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Immediately
351, 4, 5, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
351, 4, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
351, 4, 5, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
352, 4, 3, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
352, 4, 3, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
352, 4, 3, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
