Game Turn, Range, Value, Seed, Type, Location
231, 5, 0, 2001607901, sync, Random Direction
231, 14, 6, 150720594, sync, Random Direction
231, 6, 5, 2115821347, sync, Random Direction
231, 16, 10, 4133084192, sync, Random Direction
231, 7, 3, 2786372057, sync, Random Direction
231, 4, 1, 2036506526, sync, Random Direction
231, 5, 3, 1305758335, sync, Random Direction
232, 3, 2, 2941295180, sync, GetNextBuyablePlot picker
232, 1, 0, 3609004693, sync, GetNextBuyablePlot picker
232, 1, 0, 1960122282, sync, GetNextBuyablePlot picker
232, 100, 73, 594349979, sync, City Rebellion Roll
232, 3, 0, 3172142904, sync, GetNextBuyablePlot picker
232, 1, 0, 1292942097, sync, GetNextBuyablePlot picker
232, 100, 76, 3913614454, sync, City Rebellion Roll
232, 1, 0, 3271756407, sync, GetNextBuyablePlot picker
232, 1, 0, 1149626084, sync, GetNextBuyablePlot picker
232, 5, 1, 1907685197, sync, GetNextBuyablePlot picker
232, 5, 0, 1609888258, sync, GetNextBuyablePlot picker
232, 1, 0, 747886355, sync, GetNextBuyablePlot picker
232, 12, 6, 841780560, sync, Unit Combat Damage
232, 2, 0, 2347154249, sync, GetNextBuyablePlot picker
232, 1, 0, 1103375438, sync, GetNextBuyablePlot picker
232, 5, 4, 3629830511, sync, Choosing random tech to grant based on era
232, 4, 3, 4116000380, sync, Choosing random tech to grant based on era
232, 1, 0, 3646341893, sync, GetNextBuyablePlot picker
232, 1, 0, 339394394, sync, GetNextBuyablePlot picker
232, 1, 0, 1559041419, sync, GetNextBuyablePlot picker
232, 4, 2, 3255088744, sync, GetNextBuyablePlot picker
232, 3, 1, 2282064513, sync, GetNextBuyablePlot picker
232, 1, 0, 2069198630, sync, GetNextBuyablePlot picker
232, 2, 0, 1528135527, sync, GetNextBuyablePlot picker
232, 3, 2, 94556436, sync, GetNextBuyablePlot picker
232, 7, 3, 3414117821, sync, Random Diplomatic Value
232, 7, 2, 2349981618, sync, Random Diplomatic Value
