Turn, Event, Origin City, Destination City, Attached Resource, Origin Yields
265, Route Ended (Expired), LOC_CITY_NAME_KYOTO, LOC_CITY_NAME_MEMPHIS,Resource -1 (x0),Origin Yields,2.00,0.00,4.00,1.00,1.00,0.00,Destination Yields,0.00,0.00,2.00,0.00,0.00,0.00
265, Route Ended (Expired), LOC_CITY_NAME_JIAODONG, LOC_CITY_NAME_BEIJING,Resource -1 (x0),Origin Yields,3.00,1.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
265, Route Ended (Expired), LOC_CITY_NAME_AMSTERDAM, LOC_CITY_NAME_BEIJING,Resource -1 (x0),Origin Yields,1.00,0.00,6.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
265, Route Ended (Expired), LOC_CITY_NAME_CARTHAGE, LOC_CITY_NAME_SEOUL,Resource -1 (x0),Origin Yields,0.00,0.00,10.00,2.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
266, Route Started, LOC_CITY_NAME_JIAODONG, LOC_CITY_NAME_TAIYUAN,Resource -1 (x0),Origin Yields,2.00,1.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
266, Route Started, LOC_CITY_NAME_AMSTERDAM, LOC_CITY_NAME_HANDAN,Resource -1 (x0),Origin Yields,0.00,0.00,8.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
266, Route Started, LOC_CITY_NAME_CARTHAGE, LOC_CITY_NAME_SEOUL,Resource -1 (x0),Origin Yields,0.00,0.00,10.00,2.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
268, Route Ended (Expired), LOC_CITY_NAME_KYOTO, LOC_CITY_NAME_IWNW,Resource -1 (x0),Origin Yields,2.00,1.00,4.00,1.00,1.00,0.00,Destination Yields,0.00,0.00,2.00,0.00,0.00,0.00
269, Route Started, LOC_CITY_NAME_KYOTO, LOC_CITY_NAME_TAKAMATSU,Resource -1 (x0),Origin Yields,1.00,1.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
275, Route Ended (Expired), LOC_CITY_NAME_JIAODONG, LOC_CITY_NAME_HANDAN,Resource -1 (x0),Origin Yields,2.00,2.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
275, Route Ended (Expired), LOC_CITY_NAME_STOCKHOLM, LOC_CITY_NAME_SAO_PAULO,Resource -1 (x0),Origin Yields,0.00,1.00,6.00,1.00,0.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
276, Route Started, LOC_CITY_NAME_JIAODONG, LOC_CITY_NAME_CHANGSHA,Resource -1 (x0),Origin Yields,2.00,1.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
276, Route Started, LOC_CITY_NAME_STOCKHOLM, LOC_CITY_NAME_NAN_MADOL,Resource -1 (x0),Origin Yields,0.00,0.00,8.00,0.00,1.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
277, Route Ended (Expired), LOC_CITY_NAME_KYOTO, LOC_CITY_NAME_AKHETATEN,Resource -1 (x0),Origin Yields,2.00,1.00,4.00,1.00,0.00,1.00,Destination Yields,0.00,0.00,2.00,0.00,0.00,0.00
277, Route Ended (Expired), LOC_CITY_NAME_BRUSSELS, LOC_CITY_NAME_SEOUL,Resource -1 (x0),Origin Yields,0.00,0.00,11.00,2.00,0.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
277, Route Ended (Expired), LOC_CITY_NAME_CARTHAGE, LOC_CITY_NAME_NAN_MADOL,Resource -1 (x0),Origin Yields,0.00,0.00,11.00,0.00,1.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
278, Route Started, LOC_CITY_NAME_KYOTO, LOC_CITY_NAME_OSAKA,Resource -1 (x0),Origin Yields,3.00,1.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
278, Route Started, LOC_CITY_NAME_BRUSSELS, LOC_CITY_NAME_AMSTERDAM,Resource -1 (x0),Origin Yields,0.00,0.00,15.00,0.00,0.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
278, Route Started, LOC_CITY_NAME_CARTHAGE, LOC_CITY_NAME_NAN_MADOL,Resource -1 (x0),Origin Yields,0.00,0.00,11.00,0.00,1.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
279, Route Ended (Expired), LOC_CITY_NAME_LA_VENTA, LOC_CITY_NAME_RIO_DE_JANEIRO,Resource -1 (x0),Origin Yields,0.00,0.00,11.00,1.00,1.00,2.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
280, Route Started, LOC_CITY_NAME_LA_VENTA, LOC_CITY_NAME_RIO_DE_JANEIRO,Resource -1 (x0),Origin Yields,0.00,0.00,11.00,1.00,1.00,2.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
281, Route Ended (Expired), LOC_CITY_NAME_MANAUS, LOC_CITY_NAME_CURITIBA,Resource -1 (x0),Origin Yields,2.00,1.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
281, Route Ended (Expired), LOC_CITY_NAME_SEOUL, LOC_CITY_NAME_AMSTERDAM,Resource -1 (x0),Origin Yields,0.00,0.00,14.00,1.00,1.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
281, Route Ended (Expired), LOC_CITY_NAME_NAN_MADOL, LOC_CITY_NAME_POKROVKA,Resource -1 (x0),Origin Yields,0.00,0.00,7.00,1.00,0.00,1.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
282, Route Started, LOC_CITY_NAME_MANAUS, LOC_CITY_NAME_NATAL,Resource -1 (x0),Origin Yields,2.00,2.00,0.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
