[2021-06-03 23:10:47]	, WONDERMOVIE: Turn number: 227. Visible mesh count: 397
[2021-06-03 23:10:47]	,----- FRAME: 18124 time: 29.27ms Moving avg: 16.62ms 17 frames since last 
[2021-06-03 23:10:47]	,            GameViewState_UpdateGameCore, 85.51 ms
[2021-06-03 23:10:47]	,----- FRAME: 18125 time: 93.94ms Moving avg: 17.83ms 2 frames since last 
[2021-06-03 23:10:47]	,                LuaContext::CityBannerManager, 5.66 ms
[2021-06-03 23:10:47]	,            SerialEvent::GameCoreEventPlaybackComplete, 5.83 ms
[2021-06-03 23:10:47]	, WONDERMOVIE: Turn number: 227. Visible mesh count: 397
[2021-06-03 23:10:47]	,----- FRAME: 18141 time: 27.19ms Moving avg: 18.10ms 17 frames since last 
[2021-06-03 23:10:48]	,                    LuaContext::CityBannerManager, 9.48 ms
[2021-06-03 23:10:48]	,                SerialEvent::GameCoreEventPlaybackComplete, 9.66 ms
[2021-06-03 23:10:48]	,----- FRAME: 18168 time: 31.94ms Moving avg: 18.71ms 28 frames since last 
[2021-06-03 23:10:48]	,                ModelContext_updateVises, 13.40 ms
[2021-06-03 23:10:48]	,----- FRAME: 18170 time: 69.56ms Moving avg: 19.64ms 3 frames since last 
[2021-06-03 23:10:54]	,            DoGameStateSaveRequest, 727.59 ms
[2021-06-03 23:10:54]	,        SerialEvent::PreTurnBegin, 729.88 ms
[2021-06-03 23:10:54]	,----- FRAME: 18517 time: 16.95ms Moving avg: 16.66ms 348 frames since last 
[2021-06-03 23:10:54]	,            GameCoreEvent::TurnBegin, 7.65 ms
[2021-06-03 23:10:54]	,----- FRAME: 18520 time: 62.93ms Moving avg: 17.52ms 4 frames since last 
[2021-06-03 23:10:54]	,            LuaContext::CityBannerManager, 9.91 ms
[2021-06-03 23:10:54]	,        GameCoreEvent::PlayerTurnActivated, 13.54 ms
[2021-06-03 23:10:54]	,                LuaContext::CityBannerManager, 7.59 ms
[2021-06-03 23:10:54]	,            SerialEvent::GameCoreEventPlaybackComplete, 7.72 ms
[2021-06-03 23:10:54]	, WONDERMOVIE: Turn number: 228. Visible mesh count: 393
[2021-06-03 23:10:54]	,----- FRAME: 18529 time: 55.78ms Moving avg: 18.10ms 10 frames since last 
[2021-06-03 23:11:06]	,ModelContext_updateVises, 13.81 ms
[2021-06-03 23:11:06]	,----- FRAME: 19223 time: 26.49ms Moving avg: 16.85ms 695 frames since last 
[2021-06-03 23:11:33]	,SerialEvent::UnitSelectionChanged, 5.18 ms
[2021-06-03 23:11:33]	,----- FRAME: 20881 time: 15.03ms Moving avg: 15.95ms 1659 frames since last 
[2021-06-03 23:11:59]	,LuaContext::CityBannerManager, 8.34 ms
[2021-06-03 23:11:59]	,GameCoreEvent::GovernmentPolicyChanged, 8.55 ms
[2021-06-03 23:11:59]	,LuaContext::CityBannerManager, 10.06 ms
[2021-06-03 23:11:59]	,GameCoreEvent::GovernmentPolicyChanged, 10.27 ms
[2021-06-03 23:11:59]	,LuaContext::CityBannerManager, 8.79 ms
[2021-06-03 23:11:59]	,SerialEvent::GameCoreEventPlaybackComplete, 8.89 ms
[2021-06-03 23:11:59]	, WONDERMOVIE: Turn number: 228. Visible mesh count: 393
[2021-06-03 23:11:59]	,----- FRAME: 22374 time: 40.56ms Moving avg: 16.95ms 1494 frames since last 
[2021-06-03 23:11:59]	,                LuaContext::CityBannerManager, 12.48 ms
[2021-06-03 23:11:59]	,            GameCoreEvent::GovernmentPolicyChanged, 12.99 ms
[2021-06-03 23:11:59]	,                    LuaContext::CityBannerManager, 12.44 ms
[2021-06-03 23:11:59]	,                SerialEvent::GameCoreEventPlaybackComplete, 12.65 ms
[2021-06-03 23:11:59]	, WONDERMOVIE: Turn number: 228. Visible mesh count: 393
[2021-06-03 23:11:59]	,----- FRAME: 22398 time: 45.78ms Moving avg: 17.53ms 25 frames since last 
[2021-06-03 23:11:59]	,                    LuaContext::CityBannerManager, 9.66 ms
[2021-06-03 23:11:59]	,                SerialEvent::GameCoreEventPlaybackComplete, 9.89 ms
[2021-06-03 23:11:59]	, WONDERMOVIE: Turn number: 228. Visible mesh count: 393
